345.73	-73.24
345.94	-73.24
346.16	-73.24
346.37	-65.05
346.59	-138.78
346.80	-56.86
347.02	109.03
347.23	80.35
347.45	49.64
347.66	-67.10
347.88	12.77
348.09	45.54
348.31	14.82
348.52	23.01
348.74	4.58
348.95	96.74
349.17	-9.76
349.38	-26.14
349.60	35.30
349.81	25.06
350.03	20.96
350.24	-22.04
350.45	-28.19
350.67	168.42
350.88	92.64
351.10	-52.76
351.31	43.49
351.53	-22.04
351.74	233.95
351.96	90.59
352.17	57.83
352.39	8.68
352.60	39.40
352.82	2.53
353.03	14.82
353.24	10.72
353.46	10.72
353.67	10.72
353.89	-11.80
354.10	51.68
354.32	-28.19
354.53	133.60
354.75	14.82
354.96	70.12
355.18	55.78
355.39	-9.76
355.60	-83.48
355.82	86.50
356.03	90.59
356.25	129.51
356.46	-24.09
356.68	53.73
356.89	84.45
357.10	45.54
357.32	33.25
357.53	47.59
357.75	113.12
357.96	29.16
358.18	-26.14
358.39	37.35
358.60	84.45
358.82	29.16
359.03	-54.81
359.25	14.82
359.46	117.22
359.68	55.78
359.89	6.63
360.10	-9.76
360.32	-42.52
360.53	-20.00
360.75	41.44
360.96	-81.43
361.17	-15.90
361.39	51.68
361.60	43.49
361.82	-44.57
362.03	162.27
362.25	-1.56
362.46	-134.68
362.67	-17.95
362.89	-108.06
363.10	106.98
363.32	88.55
363.53	70.12
363.74	35.30
363.96	-9.76
364.17	35.30
364.39	35.30
364.60	-36.38
364.81	49.64
365.03	41.44
365.24	49.64
365.45	88.55
365.67	-103.96
365.88	-7.71
366.10	35.30
366.31	-38.43
366.52	16.87
366.74	106.98
366.95	78.31
367.17	186.85
367.38	10.72
367.59	-69.15
367.81	16.87
368.02	-17.95
368.23	-46.62
368.45	-13.85
368.66	129.51
368.88	283.10
369.09	-71.19
369.30	-36.38
369.52	78.31
369.73	4.58
369.94	61.92
370.16	82.40
370.37	43.49
370.59	121.31
370.80	98.79
371.01	59.88
371.23	119.27
371.44	27.11
371.65	66.02
371.87	49.64
372.08	109.03
372.29	55.78
372.51	78.31
372.72	27.11
372.93	31.20
373.15	-5.66
